n,s,t,fw_obj,fw_gap,fw_k,fw_runtime,fwls_obj,fwls_gap,fwls_k,fwls_runtime,simplex_obj,spectral_bound_val
90,20,1,8.962701325719383,0.0009468295428904002,31.0,0.0736828,8.96364770730192,1.960533706342369e-16,2.0,0.0738646,8.96364770730192,8.244414635075698
90,20,2,16.54486571058762,0.0009900158054831462,43.0,0.0854402,16.54585548144111,3.911561683935381e-16,2.0,0.0692209,16.54585548144111,15.695944106592862
90,20,3,23.6065896721676,0.0009754603333254681,53.0,0.0851235,23.60755861713347,7.15999960797555e-7,3.0,0.0971823,23.607343704350985,23.118382982692335
90,20,4,30.28054573559665,0.0009944337839012467,60.0,0.1162249,30.281540035285417,8.146249609118942e-18,4.0,0.2133313,30.243624280260846,30.250122251148987
90,20,5,36.631834117413675,0.0009981432412155863,67.0,0.10929,36.63259745597577,0.00045732981921023375,8.0,0.2106482,36.547501690755546,37.123083620141536
90,20,6,42.70633627149171,0.0008508502786656218,78.0,0.1570329,42.70659240178135,0.0009601917109771072,14.0,0.2316521,42.601132626667415,43.80512469171633
90,20,7,48.55882018098134,0.000978984904800378,80.0,0.1433397,48.559217812780005,0.0009141625489028317,16.0,0.2908821,48.422289824691724,50.089946531689115
90,20,8,54.237322576830266,0.000992776622519321,86.0,0.1322286,54.237753210350874,0.0007692930738620212,22.0,0.4060306,54.028252179861965,56.08588515278663
90,20,9,59.75282638904727,0.0008551786786224207,111.0,0.1665168,59.75277146230979,0.0009018102837096099,45.0,0.6998971,59.4436831328011,61.99303387901769
90,20,10,65.09892636194192,0.0009007866760209152,113.0,0.1883571,65.09887896149444,0.0009491707310025736,68.0,1.1251937,64.6815170023699,67.77102752839818
90,20,11,70.29429506704548,0.0008367103065055365,130.0,0.1938364,70.29418302090248,0.000915760186427411,89.0,1.614745,69.74310472404761,73.52687734004387
90,20,12,75.35154827950683,0.0009057973586041801,232.0,0.5067353,75.35108560942186,0.0009813434222392435,185.0,3.4994845,74.65363242961067,79.20712973444887
90,20,13,80.28098559675925,0.0009598440944417928,335.0,0.5570397,80.2804607848298,0.0009377902999336628,414.0,8.6723472,79.43545297111238,84.84872223055685
90,20,14,85.09636836372485,0.0009148451949969472,393.0,0.6711856,85.09575151195517,0.0009910333277020208,474.0,9.6387933,84.09199251452745,90.41754411516328
90,20,15,89.80888673145081,0.0008493400327482775,384.0,0.6627788,89.80835794165154,0.0009639721659692515,550.0,11.1934686,88.62589403002954,95.82501132553702
90,20,16,94.42949805761918,0.0009760424659480068,609.0,0.9251023,94.42896027155537,0.0009867383073751167,647.0,15.8414272,93.03360650900501,101.19684448015214
90,20,17,98.96230694074663,0.0008979652466578545,702.0,1.163533,98.9617742800682,0.0009889023589869062,727.0,15.6215738,97.31871843980542,106.48238431498353
90,20,18,103.40234052950207,0.0008824203719023615,1005.0,1.7687951,103.40170932753324,0.0009834223695843088,1235.0,27.0310641,101.45711333327935,111.75124971848714
90,20,19,107.74775581810658,0.0009064104616462331,1017.0,1.617438,107.74714870431715,0.0009972124793509486,1516.0,36.3361751,105.43935099099734,116.94426799770088
90,20,20,112.00661872939921,0.0009673621893451486,1367.0,2.1084924,112.00597201708572,0.0009635762709545969,1816.0,49.6518332,120.26108506195956,122.11893667010473
