n,s,t,fw_obj,fw_gap,fw_k,fw_runtime,fwls_obj,fwls_gap,fwls_k,fwls_runtime,spectral_bound_val
63,20,1,-0.048378171282500056,0.0009739239014413264,26,2.2992216,-0.04683244135330965,1.6284691606338182e-7,2,0.3587673,0.42996820372068834
63,20,2,-0.8048169061003178,0.0009720644871760068,37,0.0518516,-0.8032405785608403,3.2569383212676365e-7,2,0.0184987,-0.03927191270834318
63,20,3,-2.158267491702089,0.0009902243637155788,45,0.094737,-2.156671997058405,4.885407481901454e-7,2,0.0387133,-0.6544762944575355
63,20,4,-3.7945569313823215,0.0009635732078628008,51,0.2421123,-3.792990079434402,6.090722539544169e-7,2,0.0392742,-1.8970129958084538
63,20,5,-5.712504876397183,0.0009831510283499103,56,0.0575381,-5.704174628764284,0.00013946517996924515,5,0.0580851,-3.2213915142571174
63,20,6,-7.545851335539837,0.0009756208243621374,60,0.0584366,-7.532046208579568,0.0007007440637258285,2,0.0288529,-4.677377350421657
63,20,7,-9.540316555638304,0.0009816144686340474,65,0.0633666,-9.537273798424474,0.00015860931718001206,3,0.0378766,-6.329085777016912
63,20,8,-11.597006858835723,0.00091627827866178,72,0.078513,-11.620365359358077,0.0009788680880084561,7,0.079785,-8.010962491940038
63,20,9,-13.807599392141825,0.0009747664253252314,74,0.09498,-13.801194259104996,0.0008965162322697972,31,0.3607561,-9.787464773426121
63,20,10,-15.970354783756422,0.0009773408468638535,79,0.0891615,-15.976465268869328,0.000987221532772876,46,0.4619784,-11.656328929990412
63,20,11,-18.26284288009203,0.0008060201880800733,97,0.0842225,-18.268793853987155,0.0008822569928439768,21,0.2404192,-13.611394571299234
63,20,12,-20.600040762437626,0.000991222464015674,110,0.1165826,-20.62910462760026,0.000931222780797292,37,0.3718679,-15.596719659230537
63,20,13,-23.051928281301542,0.0008810911630150187,187,0.1679636,-23.063993551147213,0.0008691052466133775,125,1.5521116,-17.658884669054054
63,20,14,-25.372071805540482,0.0009691369742802075,138,0.1398504,-25.390846395947698,0.0009630758854610455,182,2.2169869,-19.747148595740555
63,20,15,-27.823857679988926,0.0004374910553075484,272,0.2706065,-27.83157374545603,0.0009922136459728226,234,3.2392928,-21.841289542111983
63,20,16,-30.354190911033843,0.0009691161752354016,384,0.3415544,-30.36838633656008,0.0009552587634218124,321,4.2742681,-23.99257877570951
63,20,17,-32.977781515434195,0.0009825721324893677,509,0.4900215,-32.98261145442544,0.0009346275521900371,315,4.2644177,-26.19035680841775
63,20,18,-35.66925405697545,0.0009002175469165485,651,0.6051849,-35.676163026596285,0.000963388979039137,831,11.27826,-28.45198263604191
63,20,19,-38.56093504056532,0.0007896900253815953,827,0.7591914,-38.5612705058633,0.0009431035831017898,1318,19.4673395,-30.732604710826067
63,20,20,-41.45032015390233,0.0009736397527696505,1539,1.4062897,-41.45153447509531,0.000995125105327399,1710,24.9811261,-33.03196196176974
